"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"1032",-2.33772512107036,8.36627673699569,-10.8975245212775,6.49753051543323e-19,8.11332638765732e-15,32.1615979954748,"DOWN"
"18898",-5.03278225195851,5.76908125579016,-10.8621426344124,7.79228427550645e-19,8.11332638765732e-15,31.9884343318747,"DOWN"
"7203",3.2045957444625,11.1873300529243,9.88666230529033,1.18169459517499e-16,8.20253608330796e-13,27.1958599517106,"UP"
"20328",-2.30136582996243,8.2590401009188,-9.48236527743564,9.47637646851022e-16,3.94672127160514e-12,25.2054398925663,"DOWN"
"13286",-5.3378083461587,3.33002610776098,-9.07564805141769,7.65799213070897e-15,1.99337535162354e-11,23.2060910595073,"DOWN"
"11292",-2.2179600330665,9.63955993362406,-8.85818196649181,2.33274186577723e-14,5.39744629032724e-11,22.1397649518163,"DOWN"
"6457",-3.22110821673313,7.76145736543065,-8.7257334832858,4.59022599515121e-14,9.55868661230288e-11,21.4916349410916,"DOWN"
"19716",-3.84039756557702,6.29282694508815,-8.62622279064393,7.62631640009188e-14,1.44373102468648e-10,21.005466122143,"DOWN"
"373",-2.7313251025465,8.22170634224298,-8.58030646403122,9.63672313808351e-14,1.67229268856209e-10,20.7813867340695,"DOWN"
"11187",3.47246084683655,11.434253801062,8.34945834995979,3.11552519688548e-13,4.63412119285308e-10,19.6575000550914,"UP"
"2679",2.46327571640138,9.44101239538953,8.16827920845797,7.79495523663687e-13,9.53605606274305e-10,18.7790233476084,"UP"
"1843",-2.17326314134815,8.27862466148261,-8.1189227213941,1.00006525925482e-12,1.05556178293615e-09,18.5403299894285,"DOWN"
"18802",2.99175231659436,8.8487119855562,8.11622040351158,1.01379349110271e-12,1.05556178293615e-09,18.5272694056903,"UP"
"12682",-2.4852704969607,9.73694189945027,-7.93433071588291,2.53258520043846e-12,2.51135972447288e-09,17.6502283188696,"DOWN"
"585",-2.36197155310937,7.62779247554008,-7.90241294937122,2.97261614797971e-12,2.81371630297862e-09,17.4967646074789,"DOWN"
"5926",-4.8369064847668,8.39743016629442,-7.82867766812917,4.30158181163713e-12,3.89461476719703e-09,17.1427717579744,"DOWN"
"13029",-3.00856220150943,9.39630456184286,-7.72063874118945,7.38160838221854e-12,5.91210049812765e-09,16.6255002955767,"DOWN"
"8096",2.36516590525797,9.6961302365567,7.70602597513254,7.93983620959828e-12,6.12367219365462e-09,16.5556708584715,"UP"
"4689",-2.96347025139286,9.12041128077803,-7.66334808599826,9.82188614891817e-12,7.05279162638179e-09,16.3519167243221,"DOWN"
"4378",3.19761663551194,9.07117700120357,7.63337678910512,1.14024090860436e-11,7.45597732574311e-09,16.2089980757303,"UP"
"419",-2.04481160697212,9.2100392126689,-7.63240790678728,1.14575141386755e-11,7.45597732574311e-09,16.2043803363339,"DOWN"
"11505",2.03379988536983,10.1894294478951,7.52912648768046,1.91378762474955e-11,1.16703464315297e-08,15.7130185459396,"UP"
"6997",-5.00479658181881,5.90285293290718,-7.52416006173582,1.96149695113109e-11,1.16703464315297e-08,15.6894357515742,"DOWN"
"2898",3.34465630165261,9.81919320746126,7.51620968133242,2.04034127604403e-11,1.18022407589836e-08,15.6516926051067,"UP"
"17939",-3.80301192402496,7.11733775857051,-7.44776113781574,2.86322146541492e-11,1.56904536304738e-08,15.3271986258189,"DOWN"
"5925",-3.94060061443555,9.81822487047723,-7.44035764492138,2.96995101523392e-11,1.58580153695465e-08,15.292150458746,"DOWN"
"12145",2.53182809136352,9.69241422562852,7.41876441053835,3.30432240896054e-11,1.72023024610486e-08,15.1899842645351,"UP"
"12452",-2.16897531418793,7.86156297775738,-7.37636534032767,4.07333867429404e-11,2.06885864764632e-08,14.9896244119171,"DOWN"
"8348",2.41016723970896,9.33749055314813,7.36723998316989,4.26077489178357e-11,2.11253277015479e-08,14.9465452623738,"UP"
"5957",2.89858306481507,8.43928914373498,7.34141043927012,4.83898746888533e-11,2.32701514263365e-08,14.8246931591158,"UP"
"14729",2.05039354286373,10.6751060963843,7.33445398932108,5.00759689580771e-11,2.32701514263365e-08,14.7918972736453,"UP"
"20617",-3.16608175813642,7.29020223356749,-7.28405804659622,6.41606907156027e-11,2.7835046322119e-08,14.5545842544943,"DOWN"
"8338",2.75554004103832,9.39196218807531,7.23236350976423,8.26907865442616e-11,3.38396927517001e-08,14.3116708158365,"UP"
"14732",2.2367714765825,6.92336855805054,7.201497188006,9.61918505021157e-11,3.77943225444539e-08,14.1668837686647,"UP"
"7537",2.1672280924887,10.9235500509386,7.12926344842153,1.36934619761546e-10,5.2806046702119e-08,13.8288143745105,"UP"
"5076",-2.73316427119327,7.21077989559334,-7.1182518532671,1.44494937504678e-10,5.3731474617811e-08,13.7773734824377,"DOWN"
"7563",2.32835121630077,10.6253151227033,7.06546691962288,1.86885322301964e-10,6.59610161290864e-08,13.531147312208,"UP"
"342",-3.90248691905302,6.21153411464187,-7.05784240083152,1.93950682434123e-10,6.73138168501363e-08,13.4956309602604,"DOWN"
"4048",2.08802921390036,7.23735212607548,6.98041021894773,2.82517511235198e-10,9.19241352181526e-08,13.1356662069793,"UP"
"115",2.04811122861317,11.340919523303,6.96734533643296,3.00988555690376e-10,9.64274720568676e-08,13.0750632794675,"UP"
"20387",-4.30053676266049,4.71904328382924,-6.90851521899942,4.00120097983923e-10,1.22530895888488e-07,12.8026594939252,"DOWN"
"11399",-2.60613892169772,7.63423296187713,-6.86140514682277,5.02280487509801e-10,1.4942126959863e-07,12.5851082422807,"DOWN"
"2517",-2.58990916690353,9.46997316251119,-6.85531280749026,5.17250429236561e-10,1.51707365329889e-07,12.5570128507193,"DOWN"
"20182",-3.8618577089059,5.89906092010313,-6.79280818635585,6.98766524865952e-10,1.96313745329479e-07,12.269287184056,"DOWN"
"14919",2.14415359511891,8.39327544956253,6.79132945866108,7.03748599835594e-10,1.96313745329479e-07,12.26249180342,"UP"
"16717",2.37905810796974,9.8633314580003,6.79035637290536,7.070462399016e-10,1.96313745329479e-07,12.2580203573106,"UP"
"17029",-3.98880574737685,4.99473684194287,-6.76652207822936,7.92765334144311e-10,2.1439669244443e-07,12.1485724183003,"DOWN"
"10757",2.23104451416736,9.55154370172474,6.76021981730946,8.17100079624961e-10,2.18144769975772e-07,12.1196559336279,"UP"
"11351",-2.33538327586721,8.4785860387789,-6.72431548240095,9.70506961742075e-10,2.52622962141462e-07,11.9551082619387,"DOWN"
"5869",-2.19563720587712,6.98338096720789,-6.70839860759451,1.04731986645751e-09,2.69251714803841e-07,11.8822670195529,"DOWN"
"17360",-2.98785111616282,4.42095825738696,-6.69848194473731,1.0981846865108e-09,2.78885340389034e-07,11.836917762963,"DOWN"
"15669",3.57450785929941,11.2699160888267,6.64729402197533,1.40221132543804e-09,3.47614864772877e-07,11.6032397554718,"UP"
"13521",-2.01746889485825,8.56008625651951,-6.64143453518531,1.44193027111869e-09,3.53255952538536e-07,11.5765344471346,"DOWN"
"14435",2.09327979140854,9.44880091181516,6.62426658661218,1.56481943102429e-09,3.78904649205231e-07,11.498341884404,"UP"
"10233",-2.89310075291575,6.7822468321355,-6.59780570357551,1.77478110086755e-09,4.2480507637317e-07,11.3779781660334,"DOWN"
"1978",-2.09807575848051,7.95043486977182,-6.57891158947675,1.94150856444541e-09,4.59431526659219e-07,11.2921491651859,"DOWN"
"14349",-2.53442871227322,7.96885565537699,-6.53285755599199,2.41553052144543e-09,5.58900084206439e-07,11.0833508802229,"DOWN"
"136",3.06190415405062,9.59996670488799,6.52727256959007,2.48028042039443e-09,5.61406081242322e-07,11.0580696053795,"UP"
"5224",2.29771605089372,7.47145354510221,6.52101710620378,2.55484049995603e-09,5.72064500764348e-07,11.0297636097935,"UP"
"11498",2.70451732023591,7.01034548885586,6.51798286164837,2.59179935340251e-09,5.74166273779297e-07,11.0160375671193,"UP"
"13949",-2.04028847396006,9.25917600466341,-6.50938916998411,2.69936555300443e-09,5.9170092921857e-07,10.9771761486328,"DOWN"
"12726",-2.04177952986727,7.76302883186833,-6.50550912962961,2.74936508320338e-09,5.92571839997293e-07,10.9596370416256,"DOWN"
"8316",-3.48021891298283,6.21128260948299,-6.49996149989172,2.82244628972502e-09,5.97344052592794e-07,10.9345671975294,"DOWN"
"20488",-2.9210072643441,5.90296535353189,-6.49866120855294,2.83985119125464e-09,5.97344052592794e-07,10.928692407149,"DOWN"
"8272",2.29782612066277,10.3102099123627,6.48979887570967,2.96133297438149e-09,6.06857016895514e-07,10.8886645621078,"UP"
"16294",2.23672118998998,8.25548039179126,6.48672014133143,3.00472493997876e-09,6.07479535438035e-07,10.8747642549653,"UP"
"11321",-3.35050536493723,8.60232584570612,-6.48327313781901,3.05405263497522e-09,6.11515308372347e-07,10.8592044135563,"DOWN"
"13501",-3.26474572272979,6.00845941220537,-6.46197629745241,3.37704328364469e-09,6.6342971074167e-07,10.7631448323163,"DOWN"
"5531",2.63734078794097,9.31165531674173,6.45037357624507,3.56697255546167e-09,6.94192864438635e-07,10.7108650963676,"UP"
"12101",3.01995437916228,8.2233569493957,6.42086937221018,4.09875244311335e-09,7.83049732801766e-07,10.5780990128669,"UP"
"7969",2.46782555120454,10.3344101343204,6.40673422445955,4.38053757734646e-09,8.2927558646057e-07,10.5145816084972,"UP"
"8333",2.29483449496177,9.29315081805636,6.38686438720316,4.80923397889047e-09,8.94174003360849e-07,10.4253937031638,"UP"
"3206",-3.29753930423167,5.90415301524758,-6.36907232326051,5.22807874880054e-09,9.54995718114232e-07,10.3456307608689,"DOWN"
"5870",-3.57086030118231,7.39282773228883,-6.36374460853798,5.36036056650617e-09,9.70644769016735e-07,10.3217645208207,"DOWN"
"2715",2.67421823828662,7.98116944444523,6.35790114494657,5.50924716819449e-09,9.89004853711053e-07,10.2955976163668,"UP"
"8337",2.22599096559267,8.520388546767,6.3426396539919,5.9176141338733e-09,1.04137167360349e-06,10.227305041482,"UP"
"17202",2.51873114068347,8.63806857648566,6.32018019601875,6.57344933103161e-09,1.13128519726779e-06,10.1269299242038,"UP"
"3822",-2.32261868317467,9.35025331365293,-6.31134522395627,6.85064918305593e-09,1.16932720154063e-06,10.0874866893632,"DOWN"
"13257",2.68925886341814,8.95305244991373,6.28878292623923,7.61195041727374e-09,1.27831657652668e-06,9.98686632114631,"UP"
"15490",-2.87490909009597,6.16174364658968,-6.25505305647876,8.9081537158406e-09,1.42820770865891e-06,9.83673355843058,"DOWN"
"3870",-2.79596287814954,8.22076239756606,-6.25384818230752,8.95827515964878e-09,1.42820770865891e-06,9.83137712995243,"DOWN"
"13088",-2.5798599637994,9.00728609765234,-6.25323665123618,8.98382045030958e-09,1.42820770865891e-06,9.82865865968741,"DOWN"
"15971",2.03479541558937,9.42074279539013,6.25321813193039,8.98459517068369e-09,1.42820770865891e-06,9.82857633668515,"UP"
"9876",-3.25919258716979,5.61044282738105,-6.2501328880703,9.11458436773396e-09,1.43789473389161e-06,9.81486313486728,"DOWN"
"8422",-2.7337225259954,7.91462361487282,-6.21875520219242,1.05465533816134e-08,1.60307611400523e-06,9.67556532370003,"DOWN"
"18800",-3.51271755320998,6.08996171336098,-6.20987429420827,1.09906522516804e-08,1.65847349629705e-06,9.63619563241445,"DOWN"
"12843",-5.14327527558186,5.40051626989549,-6.1628484777843,1.36677642034422e-08,2.03298229837486e-06,9.42814431558418,"DOWN"
"7200",2.13335951428049,7.802930693488,6.15653521197541,1.40729333208434e-08,2.06070342549014e-06,9.40026710408298,"UP"
"19423",2.0633407525012,9.78109905741216,6.15533927315844,1.41510079641323e-08,2.06070342549014e-06,9.39498769689552,"UP"
"17203",2.53939181353733,6.98465312419746,6.14561928336608,1.48015907945082e-08,2.1257125979644e-06,9.35209646751848,"UP"
"3211",-2.33261547313019,8.25914303411105,-6.13378294401582,1.56337145291296e-08,2.22983884489448e-06,9.29990779524208,"DOWN"
"19642",-2.62080652836775,6.23501051113329,-6.12306048029492,1.64272114826365e-08,2.31135305347583e-06,9.25266976137498,"DOWN"
"19336",-2.29250357982388,5.90617299563113,-6.11678839414775,1.69096186983724e-08,2.34750599849938e-06,9.22505536060178,"DOWN"
"20368",-2.69091482854612,6.40175073272039,-6.11445678989296,1.70924853526803e-08,2.35717824492857e-06,9.21479318317169,"DOWN"
"19388",-3.12985633385976,9.99820123622047,-6.10328048456916,1.79964387833347e-08,2.44939765505988e-06,9.16562726200497,"DOWN"
"7535",-3.05792943411712,9.34719185259272,-6.08466191672703,1.96079759615029e-08,2.63429994466023e-06,9.08381332024442,"DOWN"
"12593",-2.85489772930277,7.42867454956037,-6.04945324257103,2.30533233570423e-08,3.0180267265313e-06,8.92941372897808,"DOWN"
"4750",2.19633705022218,8.77729992619069,6.00391299332174,2.84053900978214e-08,3.56083735031524e-06,8.73032584494989,"UP"
"341",-3.10172009168514,4.09601352729813,-5.99787310826501,2.92013713916149e-08,3.60121385830182e-06,8.7039742989285,"DOWN"
"6434",-2.25181321233564,6.52706426119878,-5.99353941643652,2.97859817100804e-08,3.61244081821588e-06,8.68507443618111,"DOWN"
"2859",2.19044184520391,7.31883328272673,5.99316022575296,2.98376786752369e-08,3.61244081821588e-06,8.68342103657489,"UP"
"681",-4.58368988768742,4.92600533333942,-5.98349668156616,3.11853643988059e-08,3.75378051006205e-06,8.64130138064475,"DOWN"
"1180",2.76315430580957,8.25227408331109,5.98069089502008,3.15877592742036e-08,3.77190199771092e-06,8.62907805811937,"UP"
"1859",-4.04868187067565,6.89561002555569,-5.97901916208316,3.18299367209952e-08,3.77190199771092e-06,8.62179649473555,"DOWN"
"12730",2.63030312251751,9.24936048027878,5.97522104900622,3.23869650194944e-08,3.79280240852033e-06,8.60525664501473,"UP"
"17352",-2.19384471744514,7.5171562893423,-5.95854685968497,3.49480158848915e-08,4.02075957340873e-06,8.53270367559513,"DOWN"
"10873",-2.55831548071212,6.8279124532862,-5.94711041205548,3.68187191624352e-08,4.16978707746504e-06,8.48299705320214,"DOWN"
"11242",-2.87046894064511,4.77881931384857,-5.94417782267807,3.73140682281433e-08,4.19037236505041e-06,8.4702583830916,"DOWN"
"8674",2.61958722485233,8.41697909379512,5.94305786871068,3.75049664024742e-08,4.19037236505041e-06,8.46539428570576,"UP"
"2709",2.27775615055442,7.75403916336183,5.90885386762033,4.3821005839763e-08,4.80278224003802e-06,8.31705404241569,"UP"
"11707",2.26307450607799,6.33150002868297,5.89824628786306,4.59842831284756e-08,5.00127476354258e-06,8.27113358930364,"UP"
"1075",-2.4366433266206,9.7806527765787,-5.88918321834957,4.7915500336987e-08,5.09077744396642e-06,8.23193100580892,"DOWN"
"9741",2.91821808954102,7.77270165645611,5.88627754712561,4.85513759437363e-08,5.12146388752871e-06,8.21936862719609,"UP"
"19159",2.1387359120818,9.24534346522402,5.84015765490493,5.98284234302786e-08,6.11657747439979e-06,8.02037920522002,"UP"
"6074",-2.14891665090656,5.12049043128159,-5.83519894872053,6.1184404372441e-08,6.18497105170734e-06,7.99903001092069,"DOWN"
"18384",-3.56484269905284,5.97248049308126,-5.81746300579738,6.62861373224608e-08,6.5730596362044e-06,7.9227429674263,"DOWN"
"13844",2.80429126584223,7.85329345350305,5.81320562089887,6.75716698771494e-08,6.66877940057706e-06,7.90444790036351,"UP"
"13988",-2.41957756404876,11.5073858288069,-5.79904758396247,7.20254169867549e-08,7.02672549798204e-06,7.84365499098534,"DOWN"
"17351",2.4105543581905,10.2908227952024,5.78591987892705,7.64120240393737e-08,7.33273727463556e-06,7.78735209092245,"UP"
"16200",-4.24630223915241,8.3364613817982,-5.76654062389913,8.3371103736088e-08,7.89145392818317e-06,7.7043536758862,"DOWN"
"10568",-3.48268495882737,6.20694899672659,-5.76160209272808,8.52418077122489e-08,8.02759732373576e-06,7.68322500392305,"DOWN"
"771",3.3025013633466,8.7132362661896,5.76071957615695,8.55804171085929e-08,8.02759732373576e-06,7.67945026286524,"UP"
"1572",-4.02116008792311,9.70084540153197,-5.74310379077223,9.26224473411777e-08,8.57231041525638e-06,7.60416408179955,"DOWN"
"16504",-2.58799513599001,7.9749632899358,-5.72949896489961,9.84476027694438e-08,8.9915477196092e-06,7.546099552079,"DOWN"
"17059",2.07946419154301,10.5811349045196,5.7283492144393,9.8956058134255e-08,8.99851945234815e-06,7.54119568347454,"UP"
"15066",-2.79211472417981,9.34395966645688,-5.72235429167482,1.01649254030461e-07,9.20323506926229e-06,7.51563446570671,"DOWN"
"3338",-2.82561502318931,6.69322568360767,-5.71112267518445,1.06890081634435e-07,9.58163528262905e-06,7.46778155902637,"DOWN"
"4224",2.51747204325818,7.15710854871678,5.68008338216507,1.22791883717586e-07,1.05661908534504e-05,7.33578644883117,"UP"
"7182",2.51832069192584,9.52539105370311,5.67565579743816,1.25241656486571e-07,1.06886567814604e-05,7.316988089102,"UP"
"19099",-2.15352981614222,7.62780820109012,-5.64993008273992,1.40453791988923e-07,1.17793307563651e-05,7.2079127993746,"DOWN"
"11020",-3.91464747624823,8.74986683049472,-5.64805692551923,1.41629659812852e-07,1.17971841437713e-05,7.19998072760937,"DOWN"
"10869",2.86129339531139,8.23135912924189,5.64714519113286,1.42205486753953e-07,1.1797956399061e-05,7.19612038923588,"UP"
"5956",-2.15629510477445,7.55522002814016,-5.64008797276315,1.46741005144857e-07,1.21259313140337e-05,7.16625061412659,"DOWN"
"8181",-2.81358603576538,5.32699082643506,-5.60724493030302,1.69785019446929e-07,1.35984740190879e-05,7.02749744928362,"DOWN"
"382",2.05501668046314,11.9010062280159,5.59986056604928,1.75435653399875e-07,1.39648654996866e-05,6.99635868457264,"UP"
"339",2.16370722062839,5.41136732788633,5.59881943811793,1.76247030559898e-07,1.39648654996866e-05,6.99197013034392,"UP"
"16753",2.08390240166651,9.25104418013135,5.59866016971549,1.76371476489511e-07,1.39648654996866e-05,6.99129882111436,"UP"
"15897",-2.31152119641159,7.51650724617233,-5.58491487629237,1.87442411586846e-07,1.46298551956319e-05,6.93340075360361,"DOWN"
"11373",-2.1487017973557,8.83872813125737,-5.56797408280529,2.02027584241766e-07,1.56394885288124e-05,6.8621455547509,"DOWN"
"5770",-2.29725389140595,6.23272578868356,-5.55965675428306,2.09589944544491e-07,1.61648185377573e-05,6.82720358129556,"DOWN"
"17482",3.60339197557299,11.9367770419558,5.55465996084193,2.14265866120537e-07,1.6464473786325e-05,6.80622480777853,"UP"
"15107",-2.43020154399087,6.86848205251078,-5.54963195233971,2.19074161705118e-07,1.6649636289589e-05,6.78512506328153,"DOWN"
"4450",2.14617648241575,9.89925697670148,5.54773954110088,2.20911136406169e-07,1.6663695301809e-05,6.7771862933332,"UP"
"6218",2.94949546077065,8.513286189281,5.53682952413555,2.31799672361428e-07,1.71779230507273e-05,6.73144620329868,"UP"
"17033",2.77471942319785,10.4675172199018,5.53316710725733,2.35571463373609e-07,1.73955324584824e-05,6.71610230493778,"UP"
"20693",-2.49443093385239,5.19821625898394,-5.52718801892342,2.418587266878e-07,1.77967000867376e-05,6.69106420167235,"DOWN"
"19762",-2.58637679547946,8.24680707977529,-5.52412851284616,2.45139223431228e-07,1.79745746082109e-05,6.67825775794063,"DOWN"
"12150",-2.01140865261904,9.12118690368352,-5.51188217395235,2.58712216944349e-07,1.87715094273489e-05,6.6270350995448,"DOWN"
"5126",-2.66095574516482,7.9589688177691,-5.50850696877579,2.62580723372818e-07,1.89860450816513e-05,6.61292834588521,"DOWN"
"11226",-2.31090484293815,10.9043963949453,-5.48531022548687,2.90744020788292e-07,2.06636637846259e-05,6.51610247026762,"DOWN"
"12103",2.26466889874844,7.16589051851861,5.48039213394244,2.97084651152849e-07,2.10249755183871e-05,6.49560203801464,"UP"
"5281",2.13581645400719,7.15004865666815,5.46848994175445,3.12995244303041e-07,2.20196384032653e-05,6.44603035868687,"UP"
"12044",-2.59007115719728,7.09778977873702,-5.46733337937445,3.14585076269176e-07,2.20569684452166e-05,6.44121647391168,"DOWN"
"379",-2.37934965880859,5.3298470232126,-5.46284754124915,3.20826549177247e-07,2.23441206022307e-05,6.42255057376643,"DOWN"
"3428",-2.29571267489279,7.82399199009921,-5.44436823018995,3.4784168659895e-07,2.39057930090315e-05,6.34574445682547,"DOWN"
"14367",-3.69557113556002,6.54102088568647,-5.39754503319525,4.26658254319818e-07,2.88465308050516e-05,6.1517680905771,"DOWN"
"13726",3.16391220931666,9.38598184716895,5.38242797896767,4.55653102177545e-07,3.0707185112444e-05,6.08933860619572,"UP"
"1514",-3.39088886606003,5.22806661552489,-5.37350240330882,4.73668559735715e-07,3.1715993851886e-05,6.05252370036005,"DOWN"
"13533",-2.06305998718674,9.15582848580399,-5.3603975574498,5.013883771542e-07,3.31871255143313e-05,5.99853206161826,"DOWN"
"13113",-2.730516431888,9.48936802940148,-5.35599430987195,5.11053673308463e-07,3.34803985897923e-05,5.98040720838201,"DOWN"
"9955",-2.34712556091667,7.1855892196063,-5.35589495286241,5.11273854761523e-07,3.34803985897923e-05,5.97999832586817,"DOWN"
"11081",2.41795410553537,6.96855671063933,5.35285647192241,5.18052308188838e-07,3.38179350022707e-05,5.96749614349056,"UP"
"5895",-2.0561577574773,9.74233929939246,-5.34849187264935,5.27943202608004e-07,3.41761580238927e-05,5.9495443981738,"DOWN"
"4837",-2.08294015001207,9.16686402358859,-5.34720334315151,5.30898366162719e-07,3.4227329959667e-05,5.94424619054803,"DOWN"
"14996",-2.5299023144532,12.2878676630725,-5.34357944816559,5.3929654407728e-07,3.46561637715663e-05,5.92934918053494,"DOWN"
"11870",2.41195065645673,7.2513885028275,5.34219346590992,5.42542709831474e-07,3.46561637715663e-05,5.92365320960731,"UP"
"7691",-3.50452272415426,7.33641420159981,-5.33735653544959,5.54021881568551e-07,3.52811977424572e-05,5.90378133321756,"DOWN"
"8628",-2.39590165027053,5.40119482156885,-5.32511724510094,5.84139851172462e-07,3.68609947297435e-05,5.85354277181547,"DOWN"
"12334",-2.19712337202142,4.42606117348499,-5.31837395301153,6.01411428718144e-07,3.77222638302007e-05,5.82589118671256,"DOWN"
"13523",-3.99183749221209,6.19039949139695,-5.30372507473669,6.40669716779467e-07,3.9824794573778e-05,5.76588965623225,"DOWN"
"16234",2.35985055620454,9.98899402807963,5.29322424268739,6.70341792725084e-07,4.15452306300808e-05,5.72293573339018,"UP"
"13140",-2.44683052028371,5.71933798578636,-5.28932625220713,6.81694680958267e-07,4.18803971104912e-05,5.70700311572665,"DOWN"
"12151",-2.22370704502578,8.50328170947567,-5.28452171567912,6.95946656473418e-07,4.2499686728453e-05,5.68737420438563,"DOWN"
"9703",-2.05480319976595,5.82689245126862,-5.2764854729495,7.20438484183704e-07,4.34852492598303e-05,5.65456471040436,"DOWN"
"12708",-2.15467171426013,6.53334318913291,-5.26841118094265,7.45893893390111e-07,4.47622318039068e-05,5.62162834585343,"DOWN"
"4233",2.35885865361722,9.49252558604267,5.26538373056038,7.55663171128482e-07,4.51938157237412e-05,5.60928624945415,"UP"
"9986",-2.28522388942879,4.82336585341821,-5.26484147507136,7.57426127909416e-07,4.51938157237412e-05,5.6070760455421,"DOWN"
"15263",-3.11137202565462,6.87070256481288,-5.25349894840492,7.95237277976226e-07,4.7314345933077e-05,5.56087417049701,"DOWN"
"1388",-2.43750531852275,6.00896012553824,-5.24995738102199,8.07416676882997e-07,4.77660365892373e-05,5.54645980312464,"DOWN"
"17689",-2.03214339410308,7.16201377058059,-5.24545986764316,8.23146450089206e-07,4.8545878439279e-05,5.52816266537097,"DOWN"
"13437",4.5162180626034,8.23858944876614,5.22373927610868,9.03425509085917e-07,5.2113387260956e-05,5.43992333298378,"UP"
"4011",-2.14007545164306,8.04309432931906,-5.21711779257288,9.29384484198873e-07,5.34627140855175e-05,5.41306542272475,"DOWN"
"4226",2.34364881588567,8.12461844894446,5.2158985990677,9.34243001094294e-07,5.35941494622247e-05,5.4081222880935,"UP"
"13500",-4.33486298350961,6.00263622482138,-5.20722864344996,9.6951548186851e-07,5.51617223891526e-05,5.37298969924898,"DOWN"
"1573",-2.62211105846977,9.72489369306236,-5.19995916848523,1.00008970317999e-06,5.64386666098107e-05,5.34355808020195,"DOWN"
"11491",2.12432696332366,9.37715276577991,5.19760991793303,1.01017003609619e-06,5.68534617072085e-05,5.33405183031603,"UP"
"3687",2.53451440047928,6.19745149277906,5.1968287508907,1.0135438478078e-06,5.68895878349046e-05,5.33089138381544,"UP"
"2501",4.16092349020046,8.63825929336669,5.16968766871202,1.13784481247289e-06,6.26838105157022e-05,5.22125445617651,"UP"
"6221",-3.48449517281339,8.75111276761434,-5.15767303919597,1.19750884075387e-06,6.56234844733122e-05,5.1728273966801,"DOWN"
"11594",-2.07368569950165,7.7228906565371,-5.15270554793356,1.22305958931678e-06,6.68477503620279e-05,5.1528241987094,"DOWN"
"14762",-2.65596281478886,7.23096831826249,-5.12625165119951,1.36834778929624e-06,7.40116217254672e-05,5.04648853876473,"DOWN"
"10997",2.65321404465006,9.05282677903552,5.09556977282147,1.5580044894286e-06,8.15173002207569e-05,4.92355989037916,"UP"
"4938",2.80388583687039,10.486606305572,5.08981800247704,1.59630660687032e-06,8.33120019585651e-05,4.90056347070207,"UP"
